ime_avtomobila,znamka,leto_prve_registracije,prevozeni_kilometri,vrsta_motorja,vrsta_menjalnika,velikost_motorja,moc_motorja,cena

Abarth - 500-PANORAMA-ODLIÈEN ,Abarth,2008,119000,bencinski motor,ročni menjalnik,"['1', '3', '6', '9']",99,9650

Alfa Romeo 147 1.9 JTD Distinctive,Alfa,2005,232000,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",85,1500

Alfa Romeo 147 1.9 JTD Distinctive,Alfa,2003,340000,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",85,350

Alfa Romeo 147 1.9 JTD M-JET-HITRI KREDIT BREZ POLOGA,Alfa,2006,243900,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",88,1790

Alfa Romeo 156 Sportwagon 1.9 JTD Progression,Alfa,2003,338000,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",85,1250

Alfa Romeo 156 Sportwagon 1.9 JTD Progression,Alfa,2004,363524,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",85,750

Alfa Romeo 159 1.9 JTDM,Alfa,2007,247500,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",88,2300

Alfa Romeo 159 2.0 JTDM-BI-XENON-NAVI-170PS-V PRIHODU,Alfa,2012,154000,diesel motor,ročni menjalnik,"['1', '9', '5', '6']",125,7999

Alfa Romeo 159 Sportwagon 1.9 JTDM Progression Q-Tronic,Alfa,2008,250000,diesel motor,avtomatski menjalnik,"['1', '9', '1', '0']",110,1600

Alfa Romeo GT 1.9 JTD M-Jet Progression,Alfa,2005,300000,diesel motor,ročni menjalnik,"['1', '9', '1', '0']",110,1499

Alfa Romeo Giulia 2.2 Multijet-1.LASTNIK-ALU-PDC-NAVI-KOT NOVA,Alfa,2016,147700,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",110,17990

Alfa Romeo Giulia AWD 2.2 Multijet 210 Veloce Avt.,Alfa,2017,24560,diesel motor,avtomatski menjalnik,"['2', '1', '4', '3']",155,29990

Audi A1 1.2 TFSI Attraction,Audi,2011,99000,bencinski motor,ročni menjalnik,"['1', '1', '9', '7']",63,6990

Audi A1 Sportback 1.4 TFSI Ambition,Audi,2014,18520,bencinski motor,ročni menjalnik,"['1', '3', '9', '0']",90,12500

Audi A3 ,Audi,2013,151000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",110,9500

Audi A3 ,Audi,2000,245000,bencinski motor,ročni menjalnik,velikost motorja ni znana,"74 kW / 101 KM
",450

Audi A3 1.6,Audi,2000,255036,bencinski motor,ročni menjalnik,"['1', '5', '9', '5']",74,1500

Audi A3 1.6 TDI DPF- XENON-NAVI-GR-SEDE-TEMP-HITRI KREDIT ,Audi,2010,198000,diesel motor,ročni menjalnik,"['1', '5', '9', '8']",77,5899

Audi A3 1.6 TDI-AUT-S LINE-LIZING ZA TUJCE-XENON-LED,Audi,2014,198000,diesel motor,avtomatski menjalnik,"['1', '5', '9', '8']",77,11850

Audi A3 1.8 T Q lpg,Audi,2001,383000,LPG avtoplin,ročni menjalnik,"['1', '7', '8', '1']",110,1200

Audi A3 1.9 TDI Attraction,Audi,2004,280000,diesel motor,ročni menjalnik,"['1', '8', '9', '6']",77,2500

Audi A3 2.0 TDI DPF Ambiente Start Stop,Audi,2012,280000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",100,8300

Audi A3 2.0 TDI DPF GR.SEDE + TEMPOMAT,Audi,2008,265000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",103,5790

